composition,Phase
V0.99 Ti0.01,BCC
V0.95 Ti0.05,BCC
Ti0.5 W0.5,BCC
Ti0.8 Pd0.2,BCC
Cr0.5 V0.5,BCC
Mo0.5 V0.5,BCC
V0.5 W0.5,BCC
V0.7 W0.3,BCC
V0.8 Re0.2,BCC
V0.95 Pt0.05,BCC
Mo0.5 W0.5,BCC
W0.75 Re0.25,BCC
W0.65 Re0.35,BCC
W0.8 Re0.2,BCC
W0.71 Re0.29,BCC
W0.95 Pd0.05,BCC
Nb0.999 Y0.001,BCC
W0.97 Zr0.03,BCC
V0.99 Zr0.01,BCC
V0.95 Zr0.05,BCC
Mo0.925 Zr0.075,BCC
Ta0.82 Zr0.18,BCC
Mo0.67 Zr0.33,BCC
Mo0.53 Zr0.47,BCC
W0.67 Zr0.33,BCC
Zr0.686 Nb0.314,BCC
Nb0.5 Zr0.5,BCC
Zr0.65 W0.35,BCC
Zr0.8 Pd0.2,BCC
Zr0.87 Mo0.13,BCC
Zr0.96 Mo0.04,BCC
Ti0.93 Ag0.07,BCC
Mn0.55 Re0.45,BCC
Mn0.944 Re0.056,BCC
Re0.8 Mo0.2,BCC
Re0.77 Mo0.23,BCC
Nb0.02 Mn0.98,BCC
Re0.63 Nb0.37,BCC
Re0.75 Nb0.25,BCC
Re0.6 Nb0.4,BCC
Nb0.6 Pd0.4,BCC
Re0.67 Ta0.33,BCC
Re0.75 Ta0.25,BCC
Re0.7 Ta0.3,BCC
Re0.6 Ta0.4,BCC
Mn0.883 V0.117,BCC
Re0.75 W0.25,BCC
Cr0.27 Fe0.47 Ni0.26,BCC
Cr0.33 W0.33 Mo0.34,BCC
Hf0.16 Ti0.17 W0.67,BCC
Hf0.17 Ti0.16 Mo0.67,BCC
Hf0.17 Zr0.16 Mo0.67,BCC
Hf0.17 Zr0.16 W0.67,BCC
Hf0.4 Zr0.3 Nb0.3,BCC
Ta0.33 Nb0.33 W0.34,BCC
Ta0.33 W0.33 Mo0.34,BCC
Ta0.34 Nb0.33 Mo0.33,BCC
Ti0.5 V0.45 Fe0.05,BCC
Zr0.16 Ti0.17 Mo0.67,BCC
Zr0.16 Ti0.17 W0.67,BCC
Cr0.2 Mo0.4 Nb0.4,BCC
