composition,Phase
Al1 Cu1 Ni1,FCC+Sec
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1.5,FCC+Sec
Al1 Co1 Cr1 Fe1 Mo0.5 Ni2,FCC+Sec
Al1 Co1 Cu1 Fe1 Ni1 Zr1,FCC+Sec
Al0.44 Co1 Cr1 Fe1 Ni1,FCC+Sec
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,FCC+Sec
Co1 Cr1 Fe1 Nb0.103 Ni1,FCC+Sec
Co1 Cr1 Fe1 Nb0.155 Ni1,FCC+Sec
Co1 Cr1 Fe1 Nb0.206 Ni1,FCC+Sec
Co1 Cr1 Fe1 Nb0.309 Ni1,FCC+Sec
Co1 Cr1 Fe1 Nb0.412 Ni1,FCC+Sec
Al16 Cu1 Li1 Mg1 Zn1,FCC+Sec
Al1 Li0.5 Mg1 Sn0.2 Zn0.5,FCC+Sec
Co2 Cr1 Mo0.5 Ni2 W0.5,FCC+Sec
Al0.5 B0.2 Co1 Cr1 Cu1 Fe1 Ni1,FCC+Sec
Al0.5 B0.6 Co1 Cr1 Cu1 Fe1 Ni1,FCC+Sec
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.05,FCC+Sec
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.08,FCC+Sec
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.1,FCC+Sec
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.2,FCC+Sec
Co1 Cu1 Fe1 Ni1 Sn0.04,FCC+Sec
Co1 Cu1 Fe1 Ni1 Sn0.05,FCC+Sec
Co1 Cu1 Fe1 Ni1 Sn0.07,FCC+Sec
Co1 Cu1 Fe1 Ni1 Sn0.1,FCC+Sec
Co1 Cu1 Fe1 Ni1 Sn0.2,FCC+Sec
Co1 Cu1 Fe1 Ni1 Sn0.5,FCC+Sec
Al1 Au1 Co1 Cr1 Cu1 Ni1,FCC+Sec
Al0.43 Co1 Cr0.29 Ni1 Si0.14,FCC+Sec
Al0.3 Co1 Cr1 Fe1 Ni1,FCC+Sec
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni2,FCC+Sec
Al8 Co17 Cr17 Cu8 Fe17 Ni33,FCC+Sec
Al1 Co1 Cr1 Cu0.5 Fe1 Ni3,FCC+Sec
Co2 Cr0.5 Ni2 V1 W0.5,FCC+Sec
Co1 Cr1 Fe1 Nb0.25 Ni1,FCC+Sec
Co1 Fe1 Ni1 Si0.5,FCC+Sec
Co1 Fe1 Ni1 Si0.75,FCC+Sec
Co1 Fe1 Ni1 Ti1,FCC+Sec
Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec
Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec
Al1 Cu0.062 Li0.062 Mg0.062 Zn0.062,FCC+Sec
Al1 Li0.062 Mg0.062 Sn0.062 Zn0.062,FCC+Sec
Co1 Fe1 Mo0.2 Ni1 V1,FCC+Sec
Co1 Fe1 Mo0.4 Ni1 V1,FCC+Sec
Co1 Fe1 Mo0.6 Ni1 V1,FCC+Sec
Co1 Fe1 Mo0.8 Ni1 V1,FCC+Sec
Co0.833 Fe0.833 Mo0.833 Ni1 V0.833,FCC+Sec
Co0.714 Fe0.714 Mo0.714 Ni1 V0.714,FCC+Sec
Co0.625 Fe0.625 Mo0.625 Ni1 V0.625,FCC+Sec
Co0.556 Fe0.556 Mo0.556 Ni1 V0.556,FCC+Sec
Co0.5 Fe0.5 Mo0.5 Ni1 V0.5,FCC+Sec
Co1 Fe1 Mo1 Ni1 V1,FCC+Sec
Al0.111 Cu1 Mn1 Ni1,FCC+Sec
Cu1 Mn1 Ni1 Sn0.111,FCC+Sec
Cu1 Mn1 Ni1 Sn0.053,FCC+Sec
Co1 Cr1 Fe1 Mo0.304 Ni1,FCC+Sec
Co1 Cr1 Fe1 Mn1 Mo0.087 Ni1,FCC+Sec
Co1 Cr1 Fe1 Mn1 Mo0.136 Ni1,FCC+Sec
Co1 Cr1 Fe1 Mn1 Mo0.19 Ni1,FCC+Sec
Co1 Cr1 Fe1 Ni1 W0.5,FCC+Sec
Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,FCC+Sec
Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,FCC+Sec
Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,FCC+Sec
Co1 Cr1 Fe1 Mn0.8 Ni1 Pd1,FCC+Sec
Co1 Cr1 Cu1 Fe1 Ni1 V0.042,FCC+Sec
Co1 Cr1 Cu1 Fe1 Ni1 V0.087,FCC+Sec
Co1 Cr1 Cu1 Fe1 Ni1 V0.136,FCC+Sec
Co1 Cr1 Cu1 Fe1 Ni1 V0.19,FCC+Sec
Mn0.3 Fe0.7,HCP
Mn0.47 Re0.53,HCP
Mn0.24 Au0.76,HCP
Fe0.05 Co0.95,HCP
Fe0.95 Ni0.05,HCP
Co0.75 Cr0.25,HCP
Co0.75 Ni0.25,HCP
Co0.6 Mo0.4,HCP
Co0.9 Mo0.1,HCP
Co0.5 Re0.5,HCP
Co0.6 Pt0.4,HCP
Hf0.98 Au0.02,HCP
Re0.99 Hf0.01,HCP
Hf0.5 Ti0.5,HCP
Hf0.5 Zr0.5,HCP
Hf0.618 Zr0.382,HCP
Hf0.98 Zr0.02,HCP
Zr0.57 Hf0.43,HCP
Re0.86 Mo0.14,HCP
Re0.92 Mo0.08,HCP
Pd0.54 Mo0.46,HCP
Mo0.5 Pd0.5,HCP
Mo0.6 Pt0.4,HCP
Mo0.58 Pt0.42,HCP
Re0.99 Nb0.01,HCP
Re0.58 Pt0.42,HCP
Re0.6 Pt0.4,HCP
Hf0.5 Sc0.5,HCP
Sc0.5 Zr0.5,HCP
Sc0.90 Zr0.10,HCP
Re0.99 Ta0.01,HCP
Cr0.96 Ta0.04,HCP
Re0.99 Ti0.01,HCP
Ti0.89 V0.11,HCP
Ti0.96 Ta0.04,HCP
Ti0.987 Ta0.013,HCP
Ti0.97 Nb0.03,HCP
Re0.97 V0.03,HCP
Re0.9 W0.1,HCP
Re0.92 W0.08,HCP
Sc0.5 Y0.5,HCP
Zr0.7 Y0.3,HCP
Y0.6 Zr0.4,HCP
Re0.99 Zr0.01,HCP
Ti0.7 Zr0.3,HCP
Ti0.92 Zr0.08,HCP
Ti0.62 Zr0.38,HCP
Zr0.953 Nb0.047,HCP
Co0.4 Nb0.3 Pt0.3,HCP
Nb0.125 Ni0.75 Ti0.125,HCP
Dy1 Gd1 Ho1 Lu1 Tb1,HCP
Dy1 Gd1 Ho1 Tb1 Y1,HCP
Dy1 Gd1 Lu1 Tb1 Tm1,HCP
Dy1 Gd1 Lu1 Tb1 Y1,HCP
Al0.3 Cr1 Fe1.5 Ni0.5,Sec
Al0.4 Cr1 Fe1.5 Ni0.5,Sec
Al1.5 Co1 Cr1 Fe1 Ni1,Sec
Al2.5 Co1 Cr1 Fe1 Ni1,Sec
Al2.8 Co1 Cr1 Cu1 Fe1 Ni1,Sec
Al2 Co1 Cr1 Fe1 Ni1,Sec
Al3 Co1 Cr1 Cu1 Fe1 Ni1,Sec
Al3 Co1 Cr1 Fe1 Ni1,Sec
Al1 Co0.5 Cr1 Cu0.5 Fe1 Ni1,Sec
Al1 Co1 Fe1 Mn1 Ni1,Sec
Al1 Co1 Cr0.5 Fe1 Mo0.5 Ni1,Sec
Al1 Co1 Cr1.5 Fe1 Mo0.5 Ni1,Sec
Al1 Co1 Cr2 Fe1 Mo0.5 Ni1,Sec
Al1 Co1 Cr1 Fe1 Mo0.5 Ni0.5,Sec
Al1 Co1 Fe1 Mo0.5 Ni1,Sec
Al1 Cr1 Fe1 Mo0.8 Ni1,Sec
Al1 Cr1 Fe1 Mo1 Ni1,Sec
Al1 Cr1 Mo1 Si1 Ti1,Sec
Co1 Fe1 Mn1 Ti0.5 V1 Zr1,Sec
Co1 Fe1 Mn1 Ti1.5 V1 Zr1,Sec
Co1 Fe1 Mn1 Ti2.5 V1 Zr1,Sec
Co1 Fe1 Mn1 Ti2 V1 Zr1,Sec
Co1 Fe1 Mn1 Ti1 V0.4 Zr1,Sec
Co1 Fe1 Mn1 Ti1 V0.7 Zr1,Sec
Co1 Fe1 Mn1 Ti1 V1.3 Zr1,Sec
Co1 Fe1 Mn1 Ti1 V1.6 Zr1,Sec
Co1 Fe1 Mn1 Ti1 V2.3 Zr1,Sec
Co1 Fe1 Mn1 Ti1 V2.6 Zr1,Sec
Co1 Fe1 Mn1 Ti1 V2 Zr1,Sec
Co1 Fe1 Mn1 Ti1 V3 Zr1,Sec
Co1 Fe1 Mn1 Ti1 V1 Zr1,Sec
Co1 Fe1 Mn1 Ti1 V1 Zr0.4,Sec
Co1 Fe1 Mn1 Ti1 V1 Zr0.7,Sec
Co1 Fe1 Mn1 Ti1 V1 Zr1.3,Sec
Co1 Fe1 Mn1 Ti1 V1 Zr1.6,Sec
Co1 Fe1 Mn1 Ti1 V1 Zr2,Sec
Co1 Fe1 Mn1 Ti1 V1 Zr2.3,Sec
Co1 Fe1 Mn1 Ti1 V1 Zr2.6,Sec
Co1 Fe1 Mn1 Ti1 V1 Zr3,Sec
Al1 Cu0.2 Li0.5 Mg1 Zn0.5,Sec
Al0.5 B1 Co1 Cr1 Cu1 Fe1 Ni1,Sec
